timestamp,cpu_percent,memory_percent,swap_percent,disk_usage_percent,disk_read_bytes_delta,disk_write_bytes_delta,disk_read_count_delta,disk_write_count_delta,bytes_sent_delta,bytes_recv_delta,packets_sent_delta,packets_recv_delta,process_count,new_processes,new_unique_processes,tcp_total,tcp_established,tcp_time_wait,tcp_close_wait,tcp_listen,hour,weekday
2026-08-06 01:45:04,4.7,91.1,7.1,22.7,1851392,1187840,44,112,148,246,2,3,211,0,0,71,24,15,2,30,1,3
2026-08-06 01:45:09,4.3,91.0,7.1,22.7,2973696,1060864,608,80,75,86,1,1,211,0,0,70,24,14,2,30,1,3
2026-08-06 01:45:14,5.9,91.1,7.1,22.7,3229184,557056,103,52,161,172,2,2,212,2,0,70,24,14,2,30,1,3
2026-08-06 01:45:19,7.7,91.3,7.1,22.7,4124672,3862528,919,503,124,194,1,2,215,3,0,69,24,13,2,30,1,3
2026-08-06 01:45:24,4.8,91.2,7.1,22.7,819200,344064,89,33,150,172,2,2,210,0,0,69,24,13,2,30,1,3
2026-08-06 01:45:29,6.6,91.4,7.1,22.7,126976,278528,2,14,0,0,0,0,215,5,0,69,24,13,2,30,1,3
2026-08-06 01:45:34,9.0,92.0,7.1,22.7,76467712,12509184,1555,217,75,86,1,1,214,0,0,69,24,13,2,30,1,3
2026-08-06 01:45:39,13.4,92.1,7.1,22.7,139186688,65888256,609,117,9248,30457,51,52,210,0,0,71,27,12,2,30,1,3
2026-08-06 01:45:44,14.3,91.1,7.8,22.7,248930304,157036544,1043,258,3420,2788,14,11,210,0,0,68,24,12,2,30,1,3
2026-08-06 01:45:49,14.3,91.2,7.8,22.8,154146816,91312128,645,773,2177,1281,5,4,210,0,0,67,23,12,2,30,1,3
2026-08-06 01:45:54,13.2,91.0,7.8,22.8,182510080,89092096,806,171,0,0,0,0,210,0,0,67,23,12,2,30,1,3
2026-08-06 01:45:59,13.4,91.1,7.8,22.8,237221888,91234304,1152,90,124,194,1,2,210,0,0,67,23,12,2,30,1,3
2026-08-06 01:46:04,15.4,91.8,7.8,22.8,139776000,115642368,566,406,16998,24143,46,51,210,0,0,69,26,12,1,30,1,3
2026-08-06 01:46:09,16.5,92.8,7.2,22.8,226572288,164958208,1604,260,27933,22916,31,48,210,0,0,70,27,12,1,30,1,3
2026-08-06 01:46:14,13.7,92.5,7.2,22.8,186106368,169562112,658,178,3642,406,4,4,210,0,0,69,27,11,1,30,1,3
