timestamp,cpu_percent,memory_percent,swap_percent,disk_usage_percent,disk_read_bytes_delta,disk_write_bytes_delta,disk_read_count_delta,disk_write_count_delta,bytes_sent_delta,bytes_recv_delta,packets_sent_delta,packets_recv_delta,process_count,new_processes,new_unique_processes,tcp_total,tcp_established,tcp_time_wait,tcp_close_wait,tcp_listen,hour,weekday
2026-08-08 17:51:38,4.5,50.8,2.3,23.4,17,5,16384,323584,1,15,0,0,0,0,176,1,0,25,3,0,0,22
2026-08-08 17:51:43,24.8,64.0,2.3,23.4,17,5,115453952,4308992,2435,389,7798,20529,30,38,188,13,4,27,5,0,0,22
2026-08-08 17:51:48,87.3,75.1,2.3,23.4,17,5,349563904,17402880,4513,560,598252,529710,593,696,206,18,7,69,39,1,0,22
2026-08-08 17:51:53,83.0,80.2,2.2,23.4,17,5,137117184,9257984,2664,585,3077659,1262343,2355,2749,218,15,3,156,94,2,0,22
2026-08-08 17:51:58,62.6,87.1,2.2,23.4,17,5,81116160,16859136,2562,945,697243,4888536,3020,4497,230,17,1,129,75,2,0,23
2026-08-08 17:52:03,53.9,89.0,2.3,23.4,17,5,305431552,26427392,3405,1403,325349,5021995,2271,4067,221,1,0,152,101,4,0,29
2026-08-08 17:52:08,15.8,87.8,4.2,23.4,17,5,15739904,142049280,703,513,225119,3362183,1676,2720,221,1,0,147,99,5,2,29
2026-08-08 17:52:13,14.7,86.4,4.2,23.4,17,5,3375104,2486272,149,238,95920,308644,334,391,220,0,0,135,91,5,5,29
2026-08-08 17:52:18,24.3,86.2,4.2,23.4,17,5,300230656,16147456,1246,545,75001,1086824,683,938,220,1,0,146,102,5,5,29
2026-08-08 17:52:23,19.5,91.3,4.2,23.4,17,5,234656256,4608000,2494,370,201687,339490,407,478,220,1,0,164,114,5,5,30
2026-08-08 17:52:28,22.5,87.3,4.2,23.4,17,5,74918400,7880704,2022,855,54620,227490,214,249,220,0,0,164,111,5,6,30
2026-08-08 17:52:34,13.1,85.1,4.2,23.4,17,5,23934464,3588096,854,281,113941,363973,356,443,219,0,0,166,114,5,6,30
2026-08-08 17:52:39,19.9,86.7,4.2,23.4,17,5,325961728,3653632,1372,318,116377,156475,199,210,222,4,1,167,114,5,5,30
2026-08-08 17:52:44,23.2,87.8,4.2,23.4,17,5,6651904,4083712,196,262,68636,333781,233,313,222,0,0,164,117,5,5,30
2026-08-08 17:52:49,17.2,87.7,4.2,23.4,17,5,716800,3715072,32,208,54951,81505,108,123,221,0,0,159,114,5,6,30
2026-08-08 17:52:54,9.9,87.4,4.2,23.4,17,5,1123840,2232320,40,149,57569,77743,86,94,221,0,0,156,113,5,6,30
2026-08-08 17:52:59,21.1,87.8,4.1,23.4,17,5,8838144,12542976,324,593,159823,435930,492,592,223,2,0,169,126,5,6,30
2026-08-08 17:53:04,16.3,88.2,4.1,23.4,17,5,3145216,2162688,86,148,25898,18709,63,53,223,1,0,169,121,5,11,30
2026-08-08 17:53:09,14.1,87.4,4.1,23.4,17,5,1406976,1191936,68,70,34280,21020,102,84,222,0,0,160,104,6,17,30
2026-08-08 17:53:14,19.1,86.9,4.1,23.4,17,5,1404928,1761280,50,88,64093,9123,70,66,221,0,0,156,95,9,18,30
2026-08-08 17:53:19,17.5,85.3,4.1,23.4,17,5,200704,962560,11,67,1592,1594,21,13,221,0,0,154,93,9,18,30
2026-08-08 17:53:24,15.6,85.0,4.1,23.4,17,5,200704,610304,6,65,7784,11548,25,28,221,0,0,152,92,9,18,30
2026-08-08 17:53:29,18.0,86.2,4.1,23.4,17,5,48470016,1847296,293,28,26520,14126,57,53,222,1,1,149,89,10,17,30
2026-08-08 17:53:34,18.2,86.0,4.1,23.4,17,5,6955008,913408,115,93,41331,21418,58,62,221,0,0,145,87,10,17,30
2026-08-08 17:53:39,21.8,86.9,4.1,23.4,17,5,14503424,6559232,675,412,171047,265409,301,394,222,2,0,151,89,13,17,30
2026-08-08 17:53:44,20.8,86.6,4.1,23.4,17,5,20314112,11108352,670,644,67020,110030,166,209,222,0,0,153,92,13,17,30
2026-08-08 17:53:49,21.4,87.0,4.1,23.4,17,5,3922432,4841472,150,392,162189,430137,406,513,223,1,0,172,106,12,17,30
2026-08-08 17:53:54,23.4,87.5,4.1,23.4,17,5,11912192,3735552,297,262,194948,777656,587,825,225,2,1,175,114,11,19,30
2026-08-08 17:53:59,20.0,87.7,4.1,23.4,17,5,4859392,4264960,250,249,75817,57202,143,154,224,0,0,169,110,10,18,30
2026-08-08 17:54:04,17.0,87.6,4.1,23.4,17,5,1084416,1715200,46,160,19592,38567,70,76,224,0,0,166,107,10,18,30
2026-08-08 17:54:09,19.0,87.6,4.1,23.4,17,5,793600,984576,35,69,107820,180898,243,230,224,0,0,164,101,9,18,30
2026-08-08 17:54:14,21.5,88.4,4.1,23.4,17,5,5690368,6005248,246,355,175310,1091093,911,1070,226,2,0,177,114,9,18,30
2026-08-08 17:54:19,22.1,89.0,4.1,23.4,17,5,21211136,11970560,654,961,375890,449756,499,629,228,2,1,186,121,9,20,30
2026-08-08 17:54:24,26.4,90.1,4.1,23.4,17,5,5598208,6290944,226,391,467782,4236562,1540,3386,231,4,0,185,124,9,16,30
2026-08-08 17:54:29,20.8,90.1,4.1,23.4,17,5,1849344,24176640,78,317,499009,10110402,3187,7411,231,0,0,179,123,10,15,30
2026-08-08 17:54:34,19.1,90.3,4.1,23.4,17,5,1462272,21643264,62,235,261403,9165549,2801,6670,231,0,0,177,119,11,15,30
2026-08-08 17:54:40,16.2,91.0,4.1,23.4,17,5,8155136,32595968,111,287,332954,12866894,3666,9354,231,0,0,168,118,11,9,30
2026-08-08 17:54:45,21.5,90.5,4.1,23.4,17,5,13430784,33009664,141,312,372618,15066819,4674,10897,230,0,0,165,119,11,5,30
2026-08-08 17:54:50,19.0,90.1,4.1,23.4,17,5,1601536,18788352,87,224,515373,16923057,6755,12199,229,0,0,165,117,11,6,30
2026-08-08 17:54:55,18.6,89.1,4.1,23.4,17,5,7161856,23543808,104,172,474126,16176630,6206,11647,228,0,0,162,115,11,6,30
